Timestamp,Sleep,Wake,Sleep Quality,Waking Energy,Work,Focused Learning,Skill practicing,Physical Endeavors,Scrolling,jorking,Passive media ,Active Media,Dominant Emotion ,Dominant Emotion intensity,System Architecture,MISC,Enhancers,NIC,CAF,ALC,L-TY,WE
7/28/2025,11:00:00 PM,10:00:00 AM,4,6,0,210,10,0,15,2,80,40,0,3,70,"During high cognitive overload (SGT derivations) did a ""circuit"" break of playing chess and managed to breakthrough. Happened twice. ",NIC,3,0,0,0,0
7/29/2025,11:00:00 AM,6:00:00 AM,6,7,2,90,0,60,10,0,60,60,3,6,197,Continued conceptual development of Cognitve SaaS finished EDA phase and derived 3 main behavioral profiles. Understood that social interaction requries commitment to reduce all parties anxiety,None,0,0,0,0,0
7/30/2025,12:30:00 AM,6:00:00 AM,3,4,3,0,1,0,10,2,40,60,2,4,144,ENT appointment told me no halitosis. Had conversation with uber driver for 40 minutes no issues. Emotion-lag still in place have been starting to adopt commit method in social scenarios. Still emotionally processing the shift.,None,0,0,0,0,0
7/31/2025,12:30:00 AM,6:00:00 AM,6,4,2,60,10,0,5,0,30,65,-1,3,170,0,"NIC, CAF",3,100,0,0,0
8/1/2025,12:00:00 AM,6:00:00 AM,2,5,0,130,10,0,10,1,130,155,0,2,65,Low energy day dealing with fiberglass in hands. Found new protocols dopamine mining and positive paradigm invalidation. Via praise from peer review chat on my current IRL state and novel ideas,"NIC, L-TY",3,0,0,1000,0
8/2/2025,1:00:00 AM,10:00:00 AM,2,7,0,195,20,0,15,1,200,30,-2,3,60,"Listed several factors that caused emotional disregulation. From chess loss outburst to mental simulation causing agitation Due to caloric deficit, low sleep, during week, slightly sick.",NIC,3,0,0,0,0
8/3/2025,2:00:00 AM,11:30:00 AM,3,5,0,0,0,0,10,1,100,30,1,3,270,Found Achitect vs archaeologist cognitive work. set up a complete learning plan for the next month for the fundamentals of The Actor. Cognitive IDE is the crown jewel we are showing the cognitive framework/pipeline of my architect ability formalized and The Actor is the high-end product to showcase the validity of the pipeline.,None,0,0,0,0,0
8/4/2025,2:00:00 AM,6:00:00 AM,8,6,1,60,20,0,10,1,30,30,1,7,240,"Tried to push through via discipline protocol utter failure low working memory, slow session and frustration. Should of gone to bed. ","NIC, CAF",6,100,0,0,0
8/5/2025,12:00:00 AM,6:00:00 AM,4,6,1,120,10,0,10,1,30,10,2,5,150,"the successful ""Forced Recharge,"" the power of the ""Organic Spin-Up,"" the resilience to interruption, and the final, high-quality flow state. ",NIC,3,0,0,0,0
8/6/2025,12:00:00 AM,6:00:00 AM,7,6,2,158,0,0,30,1,120,10,1,3,10,Despite full day of work and 6 hours of sleep. Afternoon nap -> lull state allowed for quieted PFC such that flow state on a perceived low activation task allowed for flow state and subsequent increases in cognitive activity.,CAF,0,100,0,0,0
8/7/2025,11:00:00 AM,6:00:00 AM,4,6,3,160,15,50,10,1,110,30,1,3,40,Strongest flow state did about 2.5 hours of continuous focused work. After finishing was disorientated for a couple minutes.,NIC,3,0,0,0,0
8/8/2025,12:00:00 AM,6:00:00 AM,3,7,3,0,20,60,20,3,90,20,1,2,120,confirmed existence of inertia farming and that creative synthesis takes precedence over scheduled archaeologist task,"NIC, CAF",3,100,0,0,0
8/9/2025,1:30:00 AM,11:30:00 AM,4,7,0,90,20,0,30,3,310,40,0,2,150,Identified that nicotine pouch induces relaxation that removes the physical restlessness when learning. And increases cognitive power for task at hand.,NIC,3,0,0,0,0
